time_s,radius_cm
0,2
1800,1.873
3600,1.794
5400,1.7030000000000001
7200,1.625
9000,1.589
10800,1.552
12600,1.51
14400,1.4770000000000001
16200,1.4470000000000001
18000,1.4239999999999999
19800,1.397
21600,1.3740000000000001
23400,1.3560000000000001
25200,1.337
27000,1.321
28800,1.3109999999999999
30600,1.2989999999999999
32400,1.2909999999999999
34200,1.2809999999999999
36000,1.2729999999999999
37800,1.266
39600,1.26
41400,1.2529999999999999
43200,1.248
45000,1.244
46800,1.24
48600,1.236
50400,1.2330000000000001
52200,1.2290000000000001
54000,1.226
55800,1.2230000000000001
57600,1.2210000000000001
59400,1.2190000000000001
61200,1.218
63000,1.216
64800,1.214
66600,1.2130000000000001
68400,1.212
70200,1.2110000000000001
72000,1.21
73800,1.2090000000000001
75600,1.208
77400,1.2070000000000001
79200,1.206
81000,1.206
82800,1.2050000000000001
84600,1.2050000000000001
86400,1.204
88200,1.204
90000,1.2030000000000001
91800,1.2030000000000001
93600,1.2030000000000001
95400,1.2030000000000001
97200,1.202
99000,1.202
100800,1.202
102600,1.202
104400,1.202
106200,1.2010000000000001
108000,1.2010000000000001
109800,1.2010000000000001
111600,1.2010000000000001
113400,1.2010000000000001
115200,1.2010000000000001
117000,1.2010000000000001
118800,1.2010000000000001
120600,1.2010000000000001
122400,1.2010000000000001
124200,1.2010000000000001
126000,1.2
127800,1.2
129600,1.2
131400,1.2
133200,1.2
135000,1.2
136800,1.2
138600,1.2
140400,1.2
142200,1.2
144000,1.2
145800,1.2
147600,1.2
149400,1.2
151200,1.2
153000,1.2
154800,1.2
156600,1.2
158400,1.2
160200,1.2
162000,1.2
163800,1.2
165600,1.2
167400,1.2
169200,1.2
171000,1.2
172800,1.2
174600,1.2
176400,1.2
178200,1.2
180000,1.2
181800,1.2
183600,1.2
185400,1.2
187200,1.2
189000,1.2
190800,1.2
192600,1.2
194400,1.2
196200,1.2
198000,1.2
199800,1.2
201600,1.2
203400,1.2
205200,1.2
207000,1.2
208800,1.1990000000000001
210600,1.1990000000000001
212400,1.1990000000000001
214200,1.1990000000000001
216000,1.1990000000000001
217800,1.1990000000000001
219600,1.1990000000000001
221400,1.1990000000000001
223200,1.1990000000000001
225000,1.1990000000000001
226800,1.1990000000000001
228600,1.1990000000000001
230400,1.1990000000000001
232200,1.1990000000000001
234000,1.1990000000000001
235800,1.1990000000000001
237600,1.1990000000000001
239400,1.1990000000000001
241200,1.198
243000,1.198
244800,1.198
246600,1.198
248400,1.198
250200,1.198
252000,1.198
253800,1.198
255600,1.198
257400,1.198
259200,1.198
